
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),Altitude (m),
2.180148,-0.0214,-0.0253,1.0001,0.0024,0.0074,0.0189,0.0013,0.0005,0.0000,-10.9688,-8.9813,49.5750,127.1313,1.2557,-1.2675,82.7737,33.41445142,-111.92187883,0.00000000,333.50451660,
2.280416,-0.0229,-0.0214,0.9957,0.0226,-0.0059,0.0343,0.0003,0.0005,0.0011,-10.9125,-9.4313,50.7000,127.1335,1.2501,-1.2611,83.0114,33.41445142,-111.92187883,0.00000000,333.50451660,
2.382072,-0.0244,-0.0185,0.9967,-0.0022,-0.0191,0.0356,0.0003,-0.0005,0.0021,-10.9688,-9.4500,52.5000,127.1428,1.2419,-1.2543,83.0114,33.41445142,-111.92187883,0.00000000,333.50451660,
2.481071,-0.0205,-0.0229,1.0011,-0.0303,-0.0082,0.0251,0.0013,-0.0027,0.0000,-11.9250,-8.4938,51.2438,127.1212,1.2512,-1.2572,83.0114,33.41445142,-111.92187883,0.00000000,333.50451660,
2.582207,-0.0209,-0.0234,1.0031,-0.0099,0.0228,-0.0240,0.0013,-0.0005,0.0011,-11.2313,-8.7375,49.0688,127.1148,1.2486,-1.2509,84.7814,33.41445142,-111.92187883,0.00000000,333.50451660,
2.683039,-0.0234,-0.0224,1.0021,0.0091,-0.0051,0.0603,0.0013,-0.0027,0.0011,-11.7188,-8.7938,51.3375,127.1430,1.2398,-1.2517,84.7814,33.41445142,-111.92187883,0.00000000,333.50451660,
2.783743,-0.0229,-0.0229,0.9933,-0.0166,-0.0204,0.0702,0.0024,-0.0005,0.0011,-11.1188,-8.8500,48.9938,127.1235,1.2474,-1.2531,84.7814,33.41445142,-111.92187883,0.00000000,333.50451660,
2.883788,-0.0209,-0.0190,1.0021,-0.0076,-0.0195,-0.0162,0.0003,0.0005,0.0021,-11.2688,-9.9375,50.4000,127.1024,1.2522,-1.2503,82.3877,33.41445142,-111.92187883,0.00000000,333.50451660,
2.984035,-0.0209,-0.0224,1.0040,-0.0252,0.0150,-0.0058,-0.0008,0.0016,0.0021,-11.2125,-8.8313,51.7500,127.1058,1.2459,-1.2435,82.3877,33.41445142,-111.92187883,0.00000000,333.50451660,
3.085206,-0.0195,-0.0253,1.0021,-0.0292,-0.0072,0.0049,0.0013,-0.0005,0.0011,-11.7375,-8.6625,50.3438,127.1313,1.2415,-1.2488,82.3877,33.41445142,-111.92187883,0.00000000,333.50451660,
3.185586,-0.0219,-0.0249,1.0055,-0.0157,-0.0155,0.0072,0.0013,-0.0005,0.0021,-11.4000,-8.2500,49.2188,127.1343,1.2482,-1.2589,81.5465,33.41445142,-111.92187883,0.00000000,333.50451660,
3.285795,-0.0224,-0.0195,1.0011,-0.0001,-0.0350,0.0372,0.0003,-0.0016,0.0011,-11.3250,-9.6562,52.5563,127.1243,1.2462,-1.2519,81.5465,33.41445142,-111.92187883,0.00000000,333.50451660,
3.398362,-0.0205,-0.0234,1.0050,0.0099,-0.0259,0.0160,0.0003,-0.0027,0.0021,-11.0438,-8.6625,49.9313,127.1140,1.2415,-1.2413,81.5465,33.41445142,-111.92187883,0.00000000,333.50451660,
3.485199,-0.0253,-0.0229,1.0026,-0.0172,-0.0017,0.0729,0.0013,-0.0016,0.0011,-11.7563,-8.2688,49.0125,127.1243,1.2446,-1.2499,82.8599,33.41445142,-111.92187883,0.00000000,333.50451660,
3.586889,-0.0244,-0.0229,0.9982,0.0088,-0.0189,0.0412,0.0013,0.0005,0.0011,-11.6438,-8.6250,49.9313,127.1599,1.2420,-1.2620,82.8599,33.41445142,-111.92187883,0.00000000,333.50451660,
3.686912,-0.0219,-0.0219,1.0011,0.0022,0.0233,-0.0422,0.0003,0.0005,0.0021,-11.7000,-8.4000,49.5375,127.1472,1.2384,-1.2516,82.8599,33.41445142,-111.92187883,0.00000000,333.50451660,
3.787957,-0.0244,-0.0190,1.0050,0.0050,-0.0145,-0.0098,0.0024,0.0005,0.0011,-11.2688,-8.9625,49.3500,127.1163,1.2397,-1.2400,83.8249,33.41445142,-111.92187883,0.00000000,333.50451660,
3.889038,-0.0268,-0.0170,1.0006,-0.0122,-0.0118,-0.0157,0.0013,-0.0016,0.0000,-11.2125,-9.1500,53.8313,127.1347,1.2418,-1.2507,83.8249,33.41445142,-111.92187883,0.00000000,333.50451660,
3.989044,-0.0209,-0.0214,1.0001,-0.0049,0.0152,-0.0415,0.0013,-0.0016,-0.0011,-11.2688,-8.9813,49.2938,127.1615,1.2332,-1.2511,83.8249,33.41445142,-111.92187883,0.00000000,333.50451660,
4.089615,-0.0219,-0.0263,1.0089,0.0004,0.0103,-0.0595,0.0013,-0.0005,0.0021,-11.3250,-8.7000,50.4938,127.1408,1.2321,-1.2407,83.4976,33.41445142,-111.92187883,0.00000000,333.50451660,
4.189832,-0.0253,-0.0253,1.0055,-0.0302,-0.0014,-0.0033,0.0035,-0.0016,0.0000,-11.1375,-10.0125,51.7875,127.1381,1.2330,-1.2406,83.4976,33.41445142,-111.92187883,0.00000000,333.50451660,
4.290187,-0.0219,-0.0205,1.0055,-0.0065,-0.0153,0.0137,0.0013,-0.0027,0.0011,-11.9250,-8.8688,50.1375,127.1703,1.2339,-1.2558,83.4976,33.41445142,-111.92187883,0.00000000,333.50451660,
4.390337,-0.0209,-0.0200,1.0016,0.0258,-0.0531,-0.0037,0.0024,-0.0027,0.0021,-11.5875,-9.1875,48.9750,127.1495,1.2365,-1.2502,83.3767,33.41445142,-111.92187883,0.00000000,333.50451660,
4.489777,-0.0244,-0.0219,1.0006,0.0076,-0.0064,-0.0312,0.0013,-0.0016,0.0021,-10.9500,-8.4750,52.0125,127.0989,1.2467,-1.2415,83.3767,33.41445142,-111.92187883,0.00000000,333.50451660,
4.590894,-0.0224,-0.0239,1.0001,0.0008,0.0358,-0.0229,0.0013,-0.0016,0.0021,-11.2875,-8.9438,49.3688,127.1155,1.2426,-1.2434,83.3767,33.41445142,-111.92187883,0.00000000,333.50451660,
4.690868,-0.0249,-0.0229,1.0045,-0.0007,-0.0001,-0.0109,0.0013,0.0005,0.0000,-11.6625,-8.1188,50.0813,127.1345,1.2399,-1.2481,82.6263,33.41445142,-111.92187883,0.00000000,333.50451660,
4.791113,-0.0200,-0.0214,1.0045,-0.0007,-0.0279,-0.0183,0.0013,-0.0016,0.0032,-12.3000,-8.2125,50.6438,127.1172,1.2459,-1.2485,82.6263,33.41445142,-111.92187883,0.00000000,333.50451660,
4.891198,-0.0195,-0.0200,1.0065,-0.0095,0.0034,-0.0274,-0.0008,-0.0016,0.0011,-12.3563,-8.3813,50.5875,127.0927,1.2471,-1.2393,82.6263,33.41445142,-111.92187883,0.00000000,333.50451660,
4.991957,-0.0234,-0.0229,1.0021,-0.0164,0.0193,-0.0085,-0.0008,-0.0016,0.0000,-11.2313,-7.9875,48.7875,127.1115,1.2416,-1.2404,83.0274,33.41445142,-111.92187883,0.00000000,333.50451660,
5.092886,-0.0234,-0.0249,1.0006,0.0105,0.0141,0.0043,-0.0019,-0.0016,0.0021,-11.3625,-8.9438,52.9875,127.1289,1.2394,-1.2450,83.0274,33.41445142,-111.92187883,0.00000000,333.50451660,
5.194232,-0.0190,-0.0229,1.0055,-0.0022,0.0214,0.0241,-0.0008,-0.0005,0.0011,-11.7563,-7.9875,48.4688,127.1122,1.2406,-1.2393,83.0274,33.41445142,-111.92187883,0.00000000,333.50451660,
5.294125,-0.0214,-0.0200,1.0006,-0.0172,-0.0074,-0.0243,0.0003,0.0027,0.0021,-11.4000,-9.1313,49.6500,127.1072,1.2387,-1.2347,88.1213,33.41445142,-111.92187883,0.00000000,333.50451660,
5.394090,-0.0200,-0.0219,1.0006,-0.0344,-0.0299,0.0931,0.0003,-0.0048,0.0011,-11.8313,-8.7000,52.2750,127.1099,1.2462,-1.2457,88.1213,33.41445142,-111.92187883,0.00000000,333.50451660,
5.494579,-0.0234,-0.0229,1.0084,-0.0151,-0.0068,-0.0104,0.0003,-0.0005,0.0011,-11.4938,-8.1562,50.2875,127.0845,1.2559,-1.2473,88.1213,33.41445142,-111.92187883,0.00000000,333.50451660,
5.594699,-0.0209,-0.0268,1.0075,0.0023,0.0083,-0.0087,0.0013,-0.0048,0.0021,-12.0375,-8.7750,49.3125,127.0489,1.2602,-1.2375,84.5669,33.41445142,-111.92187883,0.00000000,333.50451660,
5.696138,-0.0214,-0.0249,1.0050,-0.0013,-0.0221,0.0278,0.0003,-0.0016,0.0011,-11.8688,-8.1562,51.4875,127.0231,1.2633,-1.2303,84.5669,33.41445142,-111.92187883,0.00000000,333.50451660,
5.795872,-0.0239,-0.0209,1.0035,-0.0006,-0.0132,0.0153,-0.0008,-0.0005,0.0000,-11.6063,-8.0438,48.2625,127.0405,1.2603,-1.2340,84.5669,33.41445142,-111.92187883,0.00000000,333.50451660,
